Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
TruckCount,T=12,r101.txt,4226,100,12,5,1,10.0,20.0,207.045953395912,1670.0,0.0,88,7,5,12,12,2,2,33.90764307975769
TruckCount,T=12,r101.txt,4227,100,12,5,1,10.0,20.0,194.91555030054195,1590.0,0.0,89,8,3,11,11,3,2,33.45064425468445
TruckCount,T=12,r101.txt,4228,100,12,5,1,10.0,20.0,201.5721783298398,1360.0,0.0,82,6,12,18,11,2,5,35.67294430732727
TruckCount,T=12,r101.txt,4229,100,12,5,1,10.0,20.0,195.69397872139933,1650.0,0.0,90,4,6,10,11,2,3,33.49275732040405
TruckCount,T=12,r101.txt,4230,100,12,5,1,10.0,20.0,185.78192528046225,1490.0,0.0,84,6,10,16,10,2,5,32.63591384887695
TruckCount,T=15,r101.txt,4201,100,15,5,1,10.0,20.0,199.3075558929291,1560.0,0.0,85,5,10,15,11,2,4,26.038423776626587
TruckCount,T=15,r101.txt,4202,100,15,5,1,10.0,20.0,219.9070043185597,1370.0,0.0,90,4,6,10,13,2,2,29.165919542312626
TruckCount,T=15,r101.txt,4203,100,15,5,1,10.0,20.0,197.3254170291412,1630.0,0.0,88,7,5,12,11,3,2,27.126705646514893
TruckCount,T=15,r101.txt,4204,100,15,5,1,10.0,20.0,209.3657736605018,1570.0,0.0,86,5,9,14,12,2,3,27.559466123580933
TruckCount,T=15,r101.txt,4205,100,15,5,1,10.0,20.0,218.1189525945322,1590.0,0.0,91,3,6,9,14,1,3,27.531640768051147
TruckCount,T=15,r101.txt,4206,100,15,5,1,10.0,20.0,224.4239340508192,1340.0,0.0,89,5,6,11,13,2,3,24.08884596824646
TruckCount,T=15,r101.txt,4207,100,15,5,1,10.0,20.0,225.079925924008,1550.0,0.0,89,8,3,11,13,4,1,26.90786409378052
TruckCount,T=15,r101.txt,4208,100,15,5,1,10.0,20.0,206.19362111680192,1400.0,0.0,90,3,7,10,12,1,3,27.28667259216309
TruckCount,T=15,r101.txt,4209,100,15,5,1,10.0,20.0,225.17074199951128,1480.0,0.0,89,5,6,11,13,2,3,27.5428159236908
TruckCount,T=15,r101.txt,4210,100,15,5,1,10.0,20.0,209.53745151016437,1720.0,0.0,91,6,3,9,13,3,2,26.82987594604492
TruckCount,T=15,r101.txt,4211,100,15,5,1,10.0,20.0,206.9421710143256,1530.0,0.0,92,5,3,8,12,2,2,26.17817521095276
TruckCount,T=15,r101.txt,4212,100,15,5,1,10.0,20.0,219.25829134040447,1420.0,0.0,90,10,0,10,13,3,0,28.201997995376587
TruckCount,T=15,r101.txt,4213,100,15,5,1,10.0,20.0,235.9217595541368,1450.0,0.0,90,8,2,10,14,3,1,26.14927339553833
TruckCount,T=15,r101.txt,4214,100,15,5,1,10.0,20.0,233.686785838074,1420.0,0.0,92,4,4,8,14,1,2,26.49779582023621
TruckCount,T=15,r101.txt,4215,100,15,5,1,10.0,20.0,220.9402714329074,1380.0,0.0,89,6,5,11,13,2,2,26.166316270828247
TruckCount,T=15,r101.txt,4216,100,15,5,1,10.0,20.0,206.73255103572464,1730.0,0.0,90,3,7,10,12,1,3,29.110156774520878
TruckCount,T=15,r101.txt,4217,100,15,5,1,10.0,20.0,213.00508633522583,1390.0,0.0,87,7,6,13,12,3,3,28.2490873336792
TruckCount,T=15,r101.txt,4218,100,15,5,1,10.0,20.0,219.8202323321073,1380.0,0.0,90,4,6,10,13,1,2,27.13724398612976
TruckCount,T=15,r101.txt,4219,100,15,5,1,10.0,20.0,182.9350912355042,1580.0,0.0,85,6,9,15,10,3,3,27.958983421325684
TruckCount,T=15,r101.txt,4220,100,15,5,1,10.0,20.0,231.37534908341053,1330.0,0.0,91,0,9,9,14,0,3,28.69507670402527
TruckCount,T=15,r101.txt,4221,100,15,5,1,10.0,20.0,235.4356842747163,1420.0,0.0,93,7,0,7,14,3,0,26.661977291107178
TruckCount,T=15,r101.txt,4222,100,15,5,1,10.0,20.0,220.55212364736704,1390.0,0.0,89,3,8,11,13,1,3,25.34046721458435
TruckCount,T=15,r101.txt,4223,100,15,5,1,10.0,20.0,200.9725660977353,1520.0,0.0,87,5,8,13,11,3,4,29.279212474823
TruckCount,T=15,r101.txt,4224,100,15,5,1,10.0,20.0,219.6023092614482,1890.0,0.0,91,6,3,9,13,2,1,25.77280569076538
TruckCount,T=15,r101.txt,4225,100,15,5,1,10.0,20.0,202.96126984116356,1650.0,0.0,93,4,3,7,12,2,1,27.702582836151123
TruckCount,T=15,r101.txt,4226,100,15,5,1,10.0,20.0,209.2128976179585,1390.0,0.0,87,9,4,13,12,3,2,27.332758903503414
TruckCount,T=15,r101.txt,4227,100,15,5,1,10.0,20.0,232.81352866012816,1350.0,0.0,91,3,6,9,14,1,2,28.555863857269287
TruckCount,T=15,r101.txt,4228,100,15,5,1,10.0,20.0,194.8742529800075,1530.0,0.0,86,7,7,14,11,2,3,24.698400020599365
TruckCount,T=15,r101.txt,4229,100,15,5,1,10.0,20.0,220.70275637831108,1380.0,0.0,91,5,4,9,13,2,2,29.487670183181763
TruckCount,T=15,r101.txt,4230,100,15,5,1,10.0,20.0,217.1949993789949,1520.0,0.0,93,3,4,7,13,1,2,24.302800178527832
SpeedConfig,10_20,r101.txt,4201,100,15,5,1,10.0,20.0,199.3075558929291,1560.0,0.0,85,5,10,15,11,2,4,26.730556964874268
SpeedConfig,10_20,r101.txt,4202,100,15,5,1,10.0,20.0,219.9070043185597,1370.0,0.0,90,4,6,10,13,2,2,31.35820889472961
SpeedConfig,10_20,r101.txt,4203,100,15,5,1,10.0,20.0,197.3254170291412,1630.0,0.0,88,7,5,12,11,3,2,26.70066547393799
SpeedConfig,10_20,r101.txt,4204,100,15,5,1,10.0,20.0,209.3657736605018,1570.0,0.0,86,5,9,14,12,2,3,27.703132152557373
SpeedConfig,10_20,r101.txt,4205,100,15,5,1,10.0,20.0,218.1189525945322,1590.0,0.0,91,3,6,9,14,1,3,29.094337940216064
SpeedConfig,10_20,r101.txt,4206,100,15,5,1,10.0,20.0,224.4239340508192,1340.0,0.0,89,5,6,11,13,2,3,26.241767406463623
SpeedConfig,10_20,r101.txt,4207,100,15,5,1,10.0,20.0,225.079925924008,1550.0,0.0,89,8,3,11,13,4,1,30.04610013961792
SpeedConfig,10_20,r101.txt,4208,100,15,5,1,10.0,20.0,206.19362111680192,1400.0,0.0,90,3,7,10,12,1,3,27.705923795700077
SpeedConfig,10_20,r101.txt,4209,100,15,5,1,10.0,20.0,225.17074199951128,1480.0,0.0,89,5,6,11,13,2,3,28.062856912612915
SpeedConfig,10_20,r101.txt,4210,100,15,5,1,10.0,20.0,209.53745151016437,1720.0,0.0,91,6,3,9,13,3,2,27.405841588974
SpeedConfig,10_20,r101.txt,4211,100,15,5,1,10.0,20.0,206.9421710143256,1530.0,0.0,92,5,3,8,12,2,2,26.86925792694092
SpeedConfig,10_20,r101.txt,4212,100,15,5,1,10.0,20.0,219.25829134040447,1420.0,0.0,90,10,0,10,13,3,0,28.69224953651428
