N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4222,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4277985294090.874,8.059377,100,117.136986,149.906582,190.808219,1530.0,1705.0,2250.0,0.0,12.5,70.0,99.916667,0.0,0.083333,0.083333,9.25,0.0,0.083333,0.916667,9,0.75,1530.0,117.136986
100,4223,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4343631464420.172,9.568094,100,103.479452,139.542745,190.356164,1530.0,1769.166667,2450.0,0.0,7.5,90.0,99.5,0.166667,0.333333,0.5,8.583333,0.166667,0.333333,0.666667,11,0.916667,1530.0,104.545286
100,4224,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4285146406035.1206,7.743387,100,115.657534,140.395913,175.835616,1530.0,1772.142857,2130.0,0.0,0.0,0.0,99.857143,0.071429,0.071429,0.142857,8.642857,0.071429,0.071429,0.857143,14,1.0,1530.0,115.657534
100,4225,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4288861679443.5874,7.586171,100,114.958904,137.79525,194.764432,1530.0,1748.75,2130.0,0.0,0.0,0.0,99.375,0.0,0.625,0.625,8.375,0.0,0.5,0.5,8,1.0,1530.0,114.958904
100,4226,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4357571616438.357,8.968152,100,100.60274,145.808219,176.657534,1530.0,1687.5,1970.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,8,1.0,1530.0,100.60274
100,4227,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,9,4346000008084.186,7.72279,100,102.986301,129.503529,167.474583,1530.0,1854.444444,2480.0,0.0,0.0,0.0,98.888889,0.333333,0.777778,1.111111,7.777778,0.222222,0.777778,0.333333,9,1.0,1530.0,102.986301
100,4228,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4356701205479.4536,7.963716,100,101.09589,143.164384,177.232877,1520.0,1635.0,1910.0,0.0,0.0,0.0,99.875,0.0,0.125,0.125,8.75,0.0,0.125,0.875,8,1.0,1520.0,101.09589
100,4229,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4363983390514.385,8.487844,100,99.369863,132.639325,193.232877,1530.0,1748.75,2040.0,0.0,7.5,40.0,99.9375,0.0625,0.0,0.0625,8.125,0.0625,0.0,0.9375,13,0.8125,1530.0,100.068493
100,4230,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4285042479452.056,8.176105,100,115.657534,149.628425,178.219178,1530.0,1666.25,2130.0,0.0,0.0,0.0,99.375,0.0,0.625,0.625,9.5,0.0,0.5,0.625,8,1.0,1530.0,115.657534
100,4201,MOPSO,v29_hpp_cost_front_boost_fast,REPORT,100.0,50,3808414120650.994,6.53478,100,205.259317,247.48094,288.442021,2030.0,2552.39881,4040.0,0.0,9.166313,90.0,35.1,31.64,33.26,64.9,14.96,5.0,13.4,0.0,39,0.78,2030.0,205.259317
